train/global_step,Qwen2.5-GRPO-3B-300steps - _step,Qwen2.5-GRPO-3B-300steps - _step__MIN,Qwen2.5-GRPO-3B-300steps - _step__MAX,accuracy_reward,Qwen2.5-GRPO-3B-300steps - train/rewards/accuracy_reward/mean__MIN,Qwen2.5-GRPO-3B-300steps - train/rewards/accuracy_reward/mean__MAX
1,100,100,100,0.3694196343421936,0.3694196343421936,0.3694196343421936
5,502,502,502,0.345703125,0.345703125,0.345703125
10,1004,1004,1004,0.34369168281555174,0.34369168281555174,0.34369168281555174
15,1506,1506,1506,0.44308035969734194,0.44308035969734194,0.44308035969734194
20,2008,2008,2008,0.5366071403026581,0.5366071403026581,0.5366071403026581
25,2510,2510,2510,0.5975446462631225,0.5975446462631225,0.5975446462631225
30,3012,3012,3012,0.6069196462631226,0.6069196462631226,0.6069196462631226
35,3514,3514,3514,0.6363839268684387,0.6363839268684387,0.6363839268684387
40,4016,4016,4016,0.5955357193946839,0.5955357193946839,0.5955357193946839
45,4518,4518,4518,0.6279017925262451,0.6279017925262451,0.6279017925262451
50,5020,5020,5020,0.6370535612106323,0.6370535612106323,0.6370535612106323
55,5522,5522,5522,0.6486607193946838,0.6486607193946838,0.6486607193946838
60,6024,6024,6024,0.6198660612106324,0.6198660612106324,0.6198660612106324
65,6526,6526,6526,0.6284165859222413,0.6284165859222413,0.6284165859222413
70,7028,7028,7028,0.6381696462631226,0.6381696462631226,0.6381696462631226
75,7530,7530,7530,0.6522321462631225,0.6522321462631225,0.6522321462631225
80,8032,8032,8032,0.6856036901473999,0.6856036901473999,0.6856036901473999
85,8534,8534,8534,0.6696428537368775,0.6696428537368775,0.6696428537368775
90,9036,9036,9036,0.6868303537368774,0.6868303537368774,0.6868303537368774
95,9538,9538,9538,0.6848214387893676,0.6848214387893676,0.6848214387893676
100,10040,10040,10040,0.6680803656578064,0.6680803656578064,0.6680803656578064
105,10542,10542,10542,0.6627232074737549,0.6627232074737549,0.6627232074737549
110,11044,11044,11044,0.6821428537368774,0.6821428537368774,0.6821428537368774
115,11546,11546,11546,0.7032959222793579,0.7032959222793579,0.7032959222793579
120,12048,12048,12048,0.6562499880790711,0.6562499880790711,0.6562499880790711
125,12550,12550,12550,0.6705357074737549,0.6705357074737549,0.6705357074737549
130,13052,13052,13052,0.6863839268684387,0.6863839268684387,0.6863839268684387
135,13554,13554,13554,0.699999988,0.699999988,0.699999988
140,14056,14056,14056,0.6743303656578064,0.6743303656578064,0.6743303656578064
145,14558,14558,14558,0.6848918080329895,0.6848918080329895,0.6848918080329895
150,15060,15060,15060,0.7020089268684387,0.7020089268684387,0.7020089268684387
155,15562,15562,15562,0.6734375,0.6734375,0.6734375
160,16064,16064,16064,0.6890625,0.6890625,0.6890625
165,16566,16566,16566,0.6959821343421936,0.6959821343421936,0.6959821343421936
170,17068,17068,17068,0.699999988,0.699999988,0.699999988
175,17570,17570,17570,0.70625,0.70625,0.70625
180,18072,18072,18072,0.7020089268684387,0.7020089268684387,0.7020089268684387
185,18574,18574,18574,0.7107404232025146,0.7107404232025146,0.7107404232025146
190,19076,19076,19076,0.6993303537368775,0.6993303537368775,0.6993303537368775
195,19578,19578,19578,0.6897321462631225,0.6897321462631225,0.6897321462631225
200,20080,20080,20080,0.6939732193946838,0.6939732193946838,0.6939732193946838
205,20582,20582,20582,0.717159092,0.717159092,0.717159092
210,21084,21084,21084,0.6700892806053161,0.6700892806053161,0.6700892806053161
215,11043,500,21586,0.6841517865657807,0.6821428537368774,0.6861607193946838
220,11545,1002,22088,0.7186383962631225,0.7125000119209289,0.7247767806053161
225,1504,1504,1504,0.7049107074737548,0.7049107074737548,0.7049107074737548
230,2006,2006,2006,0.7102678537368774,0.7102678537368774,0.7102678537368774
235,2508,2508,2508,0.7209821343421936,0.7209821343421936,0.7209821343421936
240,3010,3010,3010,0.7006696343421936,0.7006696343421936,0.7006696343421936
245,3512,3512,3512,0.6877232074737549,0.6877232074737549,0.6877232074737549
250,4014,4014,4014,0.7029017925262451,0.7029017925262451,0.7029017925262451
255,4516,4516,4516,0.7015625,0.7015625,0.7015625
260,5018,5018,5018,0.6767857193946838,0.6767857193946838,0.6767857193946838
265,5520,5520,5520,0.7013131380081177,0.7013131380081177,0.7013131380081177
270,6022,6022,6022,0.6883928656578064,0.6883928656578064,0.6883928656578064
275,6524,6524,6524,0.7213762760162353,0.7213762760162353,0.7213762760162353
280,7026,7026,7026,0.7015624880790711,0.7015624880790711,0.7015624880790711
285,7528,7528,7528,0.7107142925262451,0.7107142925262451,0.7107142925262451
290,8030,8030,8030,0.7227678537368775,0.7227678537368775,0.7227678537368775
295,8532,8532,8532,0.7196428537368774,0.7196428537368774,0.7196428537368774
300,9034,9034,9034,0.6821428656578064,0.6821428656578064,0.6821428656578064
