train/global_step,Qwen2.5-GRPO-3B-300steps - _step,Qwen2.5-GRPO-3B-300steps - _step__MIN,Qwen2.5-GRPO-3B-300steps - _step__MAX,mean_length,Qwen2.5-GRPO-3B-300steps - train/completions/mean_length__MIN,Qwen2.5-GRPO-3B-300steps - train/completions/mean_length__MAX
1,100,100,100,576.9140625,576.9140625,576.9140625
5,502,502,502,614.0348968505859,614.0348968505859,614.0348968505859
10,1004,1004,1004,604.0080688476562,604.0080688476562,604.0080688476562
15,1506,1506,1506,602.0705688476562,602.0705688476562,602.0705688476562
20,2008,2008,2008,638.8634277,638.8634277,638.8634277
25,2510,2510,2510,661.6855102539063,661.6855102539063,661.6855102539063
30,3012,3012,3012,648.9268066,648.9268066,648.9268066
35,3514,3514,3514,638.0870849609375,638.0870849609375,638.0870849609375
40,4016,4016,4016,654.9218994140625,654.9218994140625,654.9218994140625
45,4518,4518,4518,639.5359741210938,639.5359741210938,639.5359741210938
50,5020,5020,5020,628.7332763671875,628.7332763671875,628.7332763671875
55,5522,5522,5522,614.8116455078125,614.8116455078125,614.8116455078125
60,6024,6024,6024,641.9431030273438,641.9431030273438,641.9431030273438
65,6526,6526,6526,595.8236938476563,595.8236938476563,595.8236938476563
70,7028,7028,7028,617.6268676757812,617.6268676757812,617.6268676757812
75,7530,7530,7530,592.1645263671875,592.1645263671875,592.1645263671875
80,8032,8032,8032,586.5953491210937,586.5953491210937,586.5953491210937
85,8534,8534,8534,586.4716797,586.4716797,586.4716797
90,9036,9036,9036,576.2823852539062,576.2823852539062,576.2823852539062
95,9538,9538,9538,549.8451049804687,549.8451049804687,549.8451049804687
100,10040,10040,10040,581.9933349609375,581.9933349609375,581.9933349609375
105,10542,10542,10542,602.2415527,602.2415527,602.2415527
110,11044,11044,11044,607.8330444335937,607.8330444335937,607.8330444335937
115,11546,11546,11546,603.3065063476563,603.3065063476563,603.3065063476563
120,12048,12048,12048,628.8408813476562,628.8408813476562,628.8408813476562
125,12550,12550,12550,633.1692138671875,633.1692138671875,633.1692138671875
130,13052,13052,13052,618.9169922,618.9169922,618.9169922
135,13554,13554,13554,605.6781494140625,605.6781494140625,605.6781494140625
140,14056,14056,14056,621.1341918945312,621.1341918945312,621.1341918945312
145,14558,14558,14558,607.4953247070313,607.4953247070313,607.4953247070313
150,15060,15060,15060,593.6178833007813,593.6178833007813,593.6178833007813
155,15562,15562,15562,628.3718994140625,628.3718994140625,628.3718994140625
160,16064,16064,16064,615.8718994140625,615.8718994140625,615.8718994140625
165,16566,16566,16566,599.7044799804687,599.7044799804687,599.7044799804687
170,17068,17068,17068,590.7607299804688,590.7607299804688,590.7607299804688
175,17570,17570,17570,581.3870727539063,581.3870727539063,581.3870727539063
180,18072,18072,18072,582.5567138671875,582.5567138671875,582.5567138671875
185,18574,18574,18574,572.8062744140625,572.8062744140625,572.8062744140625
190,19076,19076,19076,576.3725830078125,576.3725830078125,576.3725830078125
195,19578,19578,19578,591.3107422,591.3107422,591.3107422
200,20080,20080,20080,586.2852051,586.2852051,586.2852051
205,20582,20582,20582,578.2312866210938,578.2312866210938,578.2312866210938
210,21084,21084,21084,598.5647461,598.5647461,598.5647461
215,11043,500,21586,599.4368530273437,593.9024780273437,604.9712280273437
220,11545,1002,22088,594.7456787109375,588.6683227539063,600.8230346679687
225,1504,1504,1504,596.5573852539062,596.5573852539062,596.5573852539062
230,2006,2006,2006,586.8618530273437,586.8618530273437,586.8618530273437
235,2508,2508,2508,578.9243652,578.9243652,578.9243652
240,3010,3010,3010,606.4676635742187,606.4676635742187,606.4676635742187
245,3512,3512,3512,610.2522583007812,610.2522583007812,610.2522583007812
250,4014,4014,4014,600.6000244140625,600.6000244140625,600.6000244140625
255,4516,4516,4516,608.9254638671875,608.9254638671875,608.9254638671875
260,5018,5018,5018,621.5156494140625,621.5156494140625,621.5156494140625
265,5520,5520,5520,583.2792724609375,583.2792724609375,583.2792724609375
270,6022,6022,6022,610.9160888671875,610.9160888671875,610.9160888671875
275,6524,6524,6524,590.3388549804688,590.3388549804688,590.3388549804688
280,7026,7026,7026,583.4632080078125,583.4632080078125,583.4632080078125
285,7528,7528,7528,590.4386474609375,590.4386474609375,590.4386474609375
290,8030,8030,8030,586.4690063476562,586.4690063476562,586.4690063476562
295,8532,8532,8532,585.6397583007813,585.6397583007813,585.6397583007813
300,9034,9034,9034,629.8794922,629.8794922,629.8794922
