train/global_step,Qwen2.5-3B-INT-300steps - _step,Qwen2.5-3B-INT-300steps - _step__MIN,Qwen2.5-3B-INT-300steps - _step__MAX,mean_length,Qwen2.5-3B-INT-300steps - train/completions/mean_length__MIN,Qwen2.5-3B-INT-300steps - train/completions/mean_length__MAX
1,117,117,117,608.0244750976562,608.0244750976562,608.0244750976562
5,587,587,587,619.3307495117188,619.3307495117188,619.3307495117188
10,1174,1174,1174,602.0489258,602.0489258,602.0489258
15,1761,1761,1761,611.0481445,611.0481445,611.0481445
20,2348,2348,2348,691.2808227539062,691.2808227539062,691.2808227539062
25,2935,2935,2935,753.3019287109375,753.3019287109375,753.3019287109375
30,3522,3522,3522,752.8556030273437,752.8556030273437,752.8556030273437
35,4109,4109,4109,776.9338500976562,776.9338500976562,776.9338500976562
40,4696,4696,4696,803.1369506835938,803.1369506835938,803.1369506835938
45,5283,5283,5283,808.5302612304688,808.5302612304688,808.5302612304688
50,5870,5870,5870,793.2926635742188,793.2926635742188,793.2926635742188
55,6457,6457,6457,787.5498291015625,787.5498291015625,787.5498291015625
60,7044,7044,7044,829.2298828,829.2298828,829.2298828
65,7631,7631,7631,760.3240844726563,760.3240844726563,760.3240844726563
70,8218,8218,8218,751.0963867,751.0963867,751.0963867
75,8805,8805,8805,717.4625610351562,717.4625610351562,717.4625610351562
80,9392,9392,9392,747.0283203,747.0283203,747.0283203
85,9979,9979,9979,751.2998657226562,751.2998657226562,751.2998657226562
90,10566,10566,10566,750.6592041015625,750.6592041015625,750.6592041015625
95,11153,11153,11153,741.9927978515625,741.9927978515625,741.9927978515625
100,11740,11740,11740,704.8916504,704.8916504,704.8916504
105,12327,12327,12327,729.6221435546875,729.6221435546875,729.6221435546875
110,12914,12914,12914,720.6206176757812,720.6206176757812,720.6206176757812
115,13501,13501,13501,762.4653930664062,762.4653930664062,762.4653930664062
120,14088,14088,14088,805.6865112304688,805.6865112304688,805.6865112304688
125,14675,14675,14675,826.2136474609375,826.2136474609375,826.2136474609375
130,15262,15262,15262,844.8584350585937,844.8584350585937,844.8584350585937
135,15849,15849,15849,852.7174194335937,852.7174194335937,852.7174194335937
140,16436,16436,16436,901.6404297,901.6404297,901.6404297
145,17023,17023,17023,875.6036133,875.6036133,875.6036133
150,17610,17610,17610,844.8404174804688,844.8404174804688,844.8404174804688
155,18197,18197,18197,886.6599731445312,886.6599731445312,886.6599731445312
160,18784,18784,18784,871.6620361328125,871.6620361328125,871.6620361328125
165,19371,19371,19371,916.1881713867188,916.1881713867188,916.1881713867188
170,19958,19958,19958,862.6491821289062,862.6491821289062,862.6491821289062
175,20545,20545,20545,876.432959,876.432959,876.432959
180,21132,21132,21132,944.2048950195312,944.2048950195312,944.2048950195312
185,21719,21719,21719,977.2496826171875,977.2496826171875,977.2496826171875
190,22306,22306,22306,1108.8069580078125,1108.8069580078125,1108.8069580078125
195,22893,22893,22893,1369.929199,1369.929199,1369.929199
200,23480,23480,23480,1933.0262939453125,1933.0262939453125,1933.0262939453125
205,24067,24067,24067,2452.345898,2452.345898,2452.345898
210,24654,24654,24654,2672.488037109375,2672.488037109375,2672.488037109375
215,585,585,585,2808.083154296875,2808.083154296875,2808.083154296875
220,1172,1172,1172,2857.817285,2857.817285,2857.817285
225,1759,1759,1759,2884.631152,2884.631152,2884.631152
230,2346,2346,2346,2923.909228515625,2923.909228515625,2923.909228515625
235,2933,2933,2933,2930.909130859375,2930.909130859375,2930.909130859375
240,3520,3520,3520,2939.222412109375,2939.222412109375,2939.222412109375
245,4107,4107,4107,2964.739746,2964.739746,2964.739746
250,4694,4694,4694,2967.877832,2967.877832,2967.877832
255,5281,5281,5281,2965.008251953125,2965.008251953125,2965.008251953125
260,5868,5868,5868,2986.337988,2986.337988,2986.337988
265,6455,6455,6455,2976.928173828125,2976.928173828125,2976.928173828125
270,7042,7042,7042,2993.483935546875,2993.483935546875,2993.483935546875
275,7629,7629,7629,2988.443555,2988.443555,2988.443555
280,8216,8216,8216,2986.170703,2986.170703,2986.170703
285,8803,8803,8803,2991.838134765625,2991.838134765625,2991.838134765625
290,9390,9390,9390,2981.421142578125,2981.421142578125,2981.421142578125
295,9977,9977,9977,2979.590283203125,2979.590283203125,2979.590283203125
300,10564,10564,10564,2984.349755859375,2984.349755859375,2984.349755859375
