train/global_step,Qwen2.5-3B-PRM-COMP_300steps - _step,Qwen2.5-3B-PRM-COMP_300steps - _step__MIN,Qwen2.5-3B-PRM-COMP_300steps - _step__MAX,mean_rewards,Qwen2.5-3B-PRM-COMP_300steps - train/rewards/accuracy_reward/mean__MIN,Qwen2.5-3B-PRM-COMP_300steps - train/rewards/accuracy_reward/mean__MAX
1,102,102,102,0.37109375,0.37109375,0.37109375
5,512,512,512,0.3473307341337204,0.3473307341337204,0.3473307341337204
10,1024,1024,1024,0.3251151263713837,0.3251151263713837,0.3251151263713837
15,1536,1536,1536,0.37239583730697634,0.37239583730697634,0.37239583730697634
20,2048,2048,2048,0.41666666269302366,0.41666666269302366,0.41666666269302366
25,2560,2560,2560,0.5106770813465118,0.5106770813465118,0.5106770813465118
30,3072,3072,3072,0.594531238,0.594531238,0.594531238
35,3584,3584,3584,0.58359375,0.58359375,0.58359375
40,4096,4096,4096,0.6080729246139527,0.6080729246139527,0.6080729246139527
45,4608,4608,4608,0.5359375,0.5359375,0.5359375
50,5120,5120,5120,0.5755208253860473,0.5755208253860473,0.5755208253860473
55,5632,5632,5632,0.5520833373069763,0.5520833373069763,0.5520833373069763
60,6144,6144,6144,0.48828125,0.48828125,0.48828125
65,6656,6656,6656,0.4289062559604645,0.4289062559604645,0.4289062559604645
70,7168,7168,7168,0.3234375,0.3234375,0.3234375
75,7680,7680,7680,0.19596491754055023,0.19596491754055023,0.19596491754055023
80,8192,8192,8192,0.12708333432674407,0.12708333432674407,0.12708333432674407
85,8704,8704,8704,0.093489584,0.093489584,0.093489584
90,9216,9216,9216,0.10278782844543458,0.10278782844543458,0.10278782844543458
95,9728,9728,9728,0.10130208432674408,0.10130208432674408,0.10130208432674408
100,10240,10240,10240,0.10651041567325592,0.10651041567325592,0.10651041567325592
105,10752,10752,10752,0.1833333343267441,0.1833333343267441,0.1833333343267441
110,11264,11264,11264,0.25624999701976775,0.25624999701976775,0.25624999701976775
115,11776,11776,11776,0.23932291865348815,0.23932291865348815,0.23932291865348815
120,12288,12288,12288,0.19296875,0.19296875,0.19296875
125,12800,12800,12800,0.20078125,0.20078125,0.20078125
130,13312,13312,13312,0.17239583730697633,0.17239583730697633,0.17239583730697633
135,13824,13824,13824,0.1782648056745529,0.1782648056745529,0.1782648056745529
140,14336,14336,14336,0.17838541567325591,0.17838541567325591,0.17838541567325591
145,14848,14848,14848,0.19036458432674408,0.19036458432674408,0.19036458432674408
150,15360,15360,15360,0.18619791567325591,0.18619791567325591,0.18619791567325591
155,15872,15872,15872,0.21796874701976776,0.21796874701976776,0.21796874701976776
160,16384,16384,16384,0.24244790971279145,0.24244790971279145,0.24244790971279145
165,16896,16896,16896,0.23776041269302367,0.23776041269302367,0.23776041269302367
170,17408,17408,17408,0.16026315987110137,0.16026315987110137,0.16026315987110137
175,17920,17920,17920,0.13098958134651184,0.13098958134651184,0.13098958134651184
180,18432,18432,18432,0.12161458134651185,0.12161458134651185,0.12161458134651185
185,18944,18944,18944,0.16979166865348816,0.16979166865348816,0.16979166865348816
190,19456,19456,19456,0.14687500298023223,0.14687500298023223,0.14687500298023223
195,19968,19968,19968,0.175,0.175,0.175
200,20480,20480,20480,0.16796875298023223,0.16796875298023223,0.16796875298023223
205,510,510,510,0.17109374701976776,0.17109374701976776,0.17109374701976776
210,1022,1022,1022,0.15703124701976776,0.15703124701976776,0.15703124701976776
215,1534,1534,1534,0.16588541269302368,0.16588541269302368,0.16588541269302368
220,2046,2046,2046,0.16796875,0.16796875,0.16796875
225,2558,2558,2558,0.15494791567325591,0.15494791567325591,0.15494791567325591
230,3070,3070,3070,0.15632949769496918,0.15632949769496918,0.15632949769496918
235,3582,3582,3582,0.14947916567325592,0.14947916567325592,0.14947916567325592
240,4094,4094,4094,0.14322916567325591,0.14322916567325591,0.14322916567325591
245,4606,4606,4606,0.15833333432674407,0.15833333432674407,0.15833333432674407
250,5118,5118,5118,0.14691885709762573,0.14691885709762573,0.14691885709762573
255,5630,5630,5630,0.14010416567325593,0.14010416567325593,0.14010416567325593
260,6142,6142,6142,0.15520833134651185,0.15520833134651185,0.15520833134651185
265,6654,6654,6654,0.14166666865348815,0.14166666865348815,0.14166666865348815
270,7166,7166,7166,0.14661458730697632,0.14661458730697632,0.14661458730697632
275,7678,7678,7678,0.17526041865348815,0.17526041865348815,0.17526041865348815
280,8190,8190,8190,0.17708333134651183,0.17708333134651183,0.17708333134651183
285,8702,8702,8702,0.16458333730697633,0.16458333730697633,0.16458333730697633
290,9214,9214,9214,0.1772012084722519,0.1772012084722519,0.1772012084722519
295,9726,9726,9726,0.15703125298023224,0.15703125298023224,0.15703125298023224
300,10238,10238,10238,0.16015625,0.16015625,0.16015625
