"train/global_step","Qwen2.5-3B-PRM-COMP_Reward - _step","Qwen2.5-3B-PRM-COMP_Reward - _step__MIN","Qwen2.5-3B-PRM-COMP_Reward - _step__MAX","Qwen2.5-3B-PRM-COMP_Reward - train/rewards/accuracy_reward/mean","Qwen2.5-3B-PRM-COMP_Reward - train/rewards/accuracy_reward/mean__MIN","Qwen2.5-3B-PRM-COMP_Reward - train/rewards/accuracy_reward/mean__MAX"
"1","102","102","102","0.3463541567325592","0.3463541567325592","0.3463541567325592"
"5","512","512","512","0.3356119692325592","0.3356119692325592","0.3356119692325592"
"10","1024","1024","1024","0.42802247405052185","0.42802247405052185","0.42802247405052185"
"15","1536","1536","1536","0.5174479246139526","0.5174479246139526","0.5174479246139526"
"20","2048","2048","2048","0.567968738079071","0.567968738079071","0.567968738079071"
"25","2560","2560","2560","0.5958333373069763","0.5958333373069763","0.5958333373069763"
"30","3072","3072","3072","0.625781238079071","0.625781238079071","0.625781238079071"
"35","3584","3584","3584","0.5614583313465118","0.5614583313465118","0.5614583313465118"
"40","4096","4096","4096","0.57265625","0.57265625","0.57265625"
"45","4608","4608","4608","0.5354166626930237","0.5354166626930237","0.5354166626930237"
"50","5120","5120","5120","0.5494791626930237","0.5494791626930237","0.5494791626930237"
"55","5632","5632","5632","0.5279425144195556","0.5279425144195556","0.5279425144195556"
"58","5940","5940","5940","0.5264756977558136","0.5264756977558136","0.5264756977558136"
