train/global_step,Qwen2.5-3B-INT_PRM_NO_DECAY - _step,Qwen2.5-3B-INT_PRM_NO_DECAY - _step__MIN,Qwen2.5-3B-INT_PRM_NO_DECAY - _step__MAX,mean_rewards,Qwen2.5-3B-INT_PRM_NO_DECAY - train/rewards/accuracy_reward/mean__MIN,Qwen2.5-3B-INT_PRM_NO_DECAY - train/rewards/accuracy_reward/mean__MAX
1,114,114,114,0.34837964177131653,0.34837964177131653,0.34837964177131653
5,572,572,572,0.32667824625968933,0.32667824625968933,0.32667824625968933
10,1144,1144,1144,0.3460696697235107,0.3460696697235107,0.3460696697235107
15,1716,1716,1716,0.427314818,0.427314818,0.427314818
20,2288,2288,2288,0.5532407522201538,0.5532407522201538,0.5532407522201538
25,2860,2860,2860,0.6104166626930236,0.6104166626930236,0.6104166626930236
30,3432,3432,3432,0.6157407522201538,0.6157407522201538,0.6157407522201538
35,4004,4004,4004,0.6243055462837219,0.6243055462837219,0.6243055462837219
40,4576,4576,4576,0.6333333253860474,0.6333333253860474,0.6333333253860474
45,5148,5148,5148,0.6405092597007751,0.6405092597007751,0.6405092597007751
50,5720,5720,5720,0.6138549089431763,0.6138549089431763,0.6138549089431763
55,6292,6292,6292,0.6111111283302307,0.6111111283302307,0.6111111283302307
60,6864,6864,6864,0.6210259556770324,0.6210259556770324,0.6210259556770324
65,7436,7436,7436,0.6280092597007751,0.6280092597007751,0.6280092597007751
70,8008,8008,8008,0.6594907402992248,0.6594907402992248,0.6594907402992248
75,8580,8580,8580,0.6372685074806214,0.6372685074806214,0.6372685074806214
80,9152,9152,9152,0.6060185194015503,0.6060185194015503,0.6060185194015503
85,9724,9724,9724,0.6358796238899231,0.6358796238899231,0.6358796238899231
90,10296,10296,10296,0.6472254395484924,0.6472254395484924,0.6472254395484924
95,10868,10868,10868,0.6356481432914733,0.6356481432914733,0.6356481432914733
100,11440,11440,11440,0.6456018447875976,0.6456018447875976,0.6456018447875976
105,12012,12012,12012,0.6395833253860473,0.6395833253860473,0.6395833253860473
110,12584,12584,12584,0.6472222208976746,0.6472222208976746,0.6472222208976746
115,13156,13156,13156,0.6352029919624329,0.6352029919624329,0.6352029919624329
120,13728,13728,13728,0.6243055582046508,0.6243055582046508,0.6243055582046508
125,14300,14300,14300,0.63125,0.63125,0.63125
130,14872,14872,14872,0.6456018567085267,0.6456018567085267,0.6456018567085267
135,15444,15444,15444,0.6412037134170532,0.6412037134170532,0.6412037134170532
140,16016,16016,16016,0.6377314686775207,0.6377314686775207,0.6377314686775207
145,16588,16588,16588,0.6437888383865357,0.6437888383865357,0.6437888383865357
150,17160,17160,17160,0.6567129611968994,0.6567129611968994,0.6567129611968994
155,17732,17732,17732,0.6229166626930237,0.6229166626930237,0.6229166626930237
160,18304,18304,18304,0.6565268158912658,0.6565268158912658,0.6565268158912658
165,18876,18876,18876,0.6266203641891479,0.6266203641891479,0.6266203641891479
170,19448,19448,19448,0.6421296119689941,0.6421296119689941,0.6421296119689941
175,20020,20020,20020,0.6537037014961242,0.6537037014961242,0.6537037014961242
180,20592,20592,20592,0.6349537134170532,0.6349537134170532,0.6349537134170532
185,21164,21164,21164,0.6416666626930236,0.6416666626930236,0.6416666626930236
190,21736,21736,21736,0.6678240776062012,0.6678240776062012,0.6678240776062012
195,22308,22308,22308,0.6432870507240296,0.6432870507240296,0.6432870507240296
200,22880,22880,22880,0.6370370268821717,0.6370370268821717,0.6370370268821717
205,23452,23452,23452,0.6407407402992249,0.6407407402992249,0.6407407402992249
210,24024,24024,24024,0.660185182,0.660185182,0.660185182
215,24596,24596,24596,0.6432870388031006,0.6432870388031006,0.6432870388031006
220,25168,25168,25168,0.6337962865829467,0.6337962865829467,0.6337962865829467
225,25740,25740,25740,0.6486467123031616,0.6486467123031616,0.6486467123031616
230,26312,26312,26312,0.6490740776062012,0.6490740776062012,0.6490740776062012
235,26884,26884,26884,0.6212962865829468,0.6212962865829468,0.6212962865829468
240,27456,27456,27456,0.6407407402992249,0.6407407402992249,0.6407407402992249
245,28028,28028,28028,0.6412425398826599,0.6412425398826599,0.6412425398826599
250,28600,28600,28600,0.6423611164093017,0.6423611164093017,0.6423611164093017
255,29172,29172,29172,0.6416666746139527,0.6416666746139527,0.6416666746139527
260,29744,29744,29744,0.6502314805984497,0.6502314805984497,0.6502314805984497
265,30316,30316,30316,0.6541666626930237,0.6541666626930237,0.6541666626930237
270,30888,30888,30888,0.6571759223937989,0.6571759223937989,0.6571759223937989
275,31460,31460,31460,0.6743104100227356,0.6743104100227356,0.6743104100227356
280,32032,32032,32032,0.6365352272987366,0.6365352272987366,0.6365352272987366
285,32604,32604,32604,0.6685185194015503,0.6685185194015503,0.6685185194015503
290,33176,33176,33176,0.6273148059844971,0.6273148059844971,0.6273148059844971
295,33748,33748,33748,0.6432870268821717,0.6432870268821717,0.6432870268821717
300,34320,34320,34320,0.6481481432914734,0.6481481432914734,0.6481481432914734
