train/global_step,Qwen2.5-3B-PRM-COMP_300steps - _step,Qwen2.5-3B-PRM-COMP_300steps - _step__MIN,Qwen2.5-3B-PRM-COMP_300steps - _step__MAX,mean_advantage,Qwen2.5-3B-PRM-COMP_300steps - train/prm_advantage__MIN,Qwen2.5-3B-PRM-COMP_300steps - train/prm_advantage__MAX
1,102,102,102,0.4815332293510437,0.4815332293510437,0.4815332293510437
5,512,512,512,0.46517168,0.46517168,0.46517168
10,1024,1024,1024,0.45535567998886106,0.45535567998886106,0.45535567998886106
15,1536,1536,1536,0.49344887733459475,0.49344887733459475,0.49344887733459475
20,2048,2048,2048,0.5255134999752045,0.5255134999752045,0.5255134999752045
25,2560,2560,2560,0.569991386,0.569991386,0.569991386
30,3072,3072,3072,0.6366618990898132,0.6366618990898132,0.6366618990898132
35,3584,3584,3584,0.6256203055381775,0.6256203055381775,0.6256203055381775
40,4096,4096,4096,0.643044627,0.643044627,0.643044627
45,4608,4608,4608,0.6018856644630433,0.6018856644630433,0.6018856644630433
50,5120,5120,5120,0.6290196895599365,0.6290196895599365,0.6290196895599365
55,5632,5632,5632,0.6450635075569153,0.6450635075569153,0.6450635075569153
60,6144,6144,6144,0.6331780076026916,0.6331780076026916,0.6331780076026916
65,6656,6656,6656,0.6335040688514709,0.6335040688514709,0.6335040688514709
70,7168,7168,7168,0.6330187320709229,0.6330187320709229,0.6330187320709229
75,7680,7680,7680,0.6261176586151123,0.6261176586151123,0.6261176586151123
80,8192,8192,8192,0.6134262204170227,0.6134262204170227,0.6134262204170227
85,8704,8704,8704,0.644624126,0.644624126,0.644624126
90,9216,9216,9216,0.6705612182617188,0.6705612182617188,0.6705612182617188
95,9728,9728,9728,0.6644163131713867,0.6644163131713867,0.6644163131713867
100,10240,10240,10240,0.6599839687347412,0.6599839687347412,0.6599839687347412
105,10752,10752,10752,0.6878505945205688,0.6878505945205688,0.6878505945205688
110,11264,11264,11264,0.680354369,0.680354369,0.680354369
115,11776,11776,11776,0.6860957026481629,0.6860957026481629,0.6860957026481629
120,12288,12288,12288,0.6486933112144471,0.6486933112144471,0.6486933112144471
125,12800,12800,12800,0.6772222280502319,0.6772222280502319,0.6772222280502319
130,13312,13312,13312,0.6736430525779724,0.6736430525779724,0.6736430525779724
135,13824,13824,13824,0.6960962891578675,0.6960962891578675,0.6960962891578675
140,14336,14336,14336,0.6861429333686828,0.6861429333686828,0.6861429333686828
145,14848,14848,14848,0.6745998501777649,0.6745998501777649,0.6745998501777649
150,15360,15360,15360,0.705352247,0.705352247,0.705352247
155,15872,15872,15872,0.6981873273849487,0.6981873273849487,0.6981873273849487
160,16384,16384,16384,0.6724944591522217,0.6724944591522217,0.6724944591522217
165,16896,16896,16896,0.6998610734939575,0.6998610734939575,0.6998610734939575
170,17408,17408,17408,0.6772035837173462,0.6772035837173462,0.6772035837173462
175,17920,17920,17920,0.7455654621124268,0.7455654621124268,0.7455654621124268
180,18432,18432,18432,0.6900684595108032,0.6900684595108032,0.6900684595108032
185,18944,18944,18944,0.6810363292694092,0.6810363292694092,0.6810363292694092
190,19456,19456,19456,0.7005465269088745,0.7005465269088745,0.7005465269088745
195,19968,19968,19968,0.7102806568145752,0.7102806568145752,0.7102806568145752
200,20480,20480,20480,0.7098245620727539,0.7098245620727539,0.7098245620727539
205,510,510,510,0.6965697765350342,0.6965697765350342,0.6965697765350342
210,1022,1022,1022,0.6998794674873352,0.6998794674873352,0.6998794674873352
215,1534,1534,1534,0.7074743747711182,0.7074743747711182,0.7074743747711182
220,2046,2046,2046,0.7130991816520691,0.7130991816520691,0.7130991816520691
225,2558,2558,2558,0.6828847885131836,0.6828847885131836,0.6828847885131836
230,3070,3070,3070,0.6737650036811829,0.6737650036811829,0.6737650036811829
235,3582,3582,3582,0.6779943108558655,0.6779943108558655,0.6779943108558655
240,4094,4094,4094,0.6739902973175049,0.6739902973175049,0.6739902973175049
245,4606,4606,4606,0.6950283765792846,0.6950283765792846,0.6950283765792846
250,5118,5118,5118,0.7028395891189575,0.7028395891189575,0.7028395891189575
255,5630,5630,5630,0.6805655598640442,0.6805655598640442,0.6805655598640442
260,6142,6142,6142,0.7173003554344177,0.7173003554344177,0.7173003554344177
265,6654,6654,6654,0.7068832993507386,0.7068832993507386,0.7068832993507386
270,7166,7166,7166,0.7094116091728211,0.7094116091728211,0.7094116091728211
275,7678,7678,7678,0.6899975180625916,0.6899975180625916,0.6899975180625916
280,8190,8190,8190,0.6982627630233764,0.6982627630233764,0.6982627630233764
285,8702,8702,8702,0.6882416725158691,0.6882416725158691,0.6882416725158691
290,9214,9214,9214,0.7150685548782348,0.7150685548782348,0.7150685548782348
295,9726,9726,9726,0.6935639142990112,0.6935639142990112,0.6935639142990112
300,10238,10238,10238,0.702052379,0.702052379,0.702052379
