train/global_step,Qwen2.5-3B-PRM-COMP_Reward - _step,Qwen2.5-3B-PRM-COMP_Reward - _step__MIN,Qwen2.5-3B-PRM-COMP_Reward - _step__MAX,prm_advantage,Qwen2.5-3B-PRM-COMP_Reward - train/prm_advantage__MIN,Qwen2.5-3B-PRM-COMP_Reward - train/prm_advantage__MAX
1,102,102,102,0.4587059020996094,0.4587059020996094,0.4587059020996094
5,512,512,512,0.45040886104106903,0.45040886104106903,0.45040886104106903
10,1024,1024,1024,0.5327152848243714,0.5327152848243714,0.5327152848243714
15,1536,1536,1536,0.5744797348976135,0.5744797348976135,0.5744797348976135
20,2048,2048,2048,0.609731662,0.609731662,0.609731662
25,2560,2560,2560,0.6257380962371826,0.6257380962371826,0.6257380962371826
30,3072,3072,3072,0.6491879105567933,0.6491879105567933,0.6491879105567933
35,3584,3584,3584,0.6006106615066529,0.6006106615066529,0.6006106615066529
40,4096,4096,4096,0.6215964794158936,0.6215964794158936,0.6215964794158936
45,4608,4608,4608,0.626328969,0.626328969,0.626328969
50,5120,5120,5120,0.6237510085105896,0.6237510085105896,0.6237510085105896
55,5632,5632,5632,0.6269177079200745,0.6269177079200745,0.6269177079200745
58,5940,5940,5940,0.5951371590296427,0.5951371590296427,0.5951371590296427
