train/global_step,Qwen2.5-3B-INT_PRM_NO_DECAY - _step,Qwen2.5-3B-INT_PRM_NO_DECAY - _step__MIN,Qwen2.5-3B-INT_PRM_NO_DECAY - _step__MAX,mean_advantage,Qwen2.5-3B-INT_PRM_NO_DECAY - train/prm_advantage__MIN,Qwen2.5-3B-INT_PRM_NO_DECAY - train/prm_advantage__MAX
1,114,114,114,0.4776688814163208,0.4776688814163208,0.4776688814163208
5,572,572,572,0.463416651,0.463416651,0.463416651
10,1144,1144,1144,0.47869731187820436,0.47869731187820436,0.47869731187820436
15,1716,1716,1716,0.5274842917919159,0.5274842917919159,0.5274842917919159
20,2288,2288,2288,0.5982725024223328,0.5982725024223328,0.5982725024223328
25,2860,2860,2860,0.6169397711753846,0.6169397711753846,0.6169397711753846
30,3432,3432,3432,0.6145027995109558,0.6145027995109558,0.6145027995109558
35,4004,4004,4004,0.6379992842674256,0.6379992842674256,0.6379992842674256
40,4576,4576,4576,0.639256477,0.639256477,0.639256477
45,5148,5148,5148,0.6475866436958313,0.6475866436958313,0.6475866436958313
50,5720,5720,5720,0.636677599,0.636677599,0.636677599
55,6292,6292,6292,0.6268505811691284,0.6268505811691284,0.6268505811691284
60,6864,6864,6864,0.6397680521011353,0.6397680521011353,0.6397680521011353
65,7436,7436,7436,0.6507508754730225,0.6507508754730225,0.6507508754730225
70,8008,8008,8008,0.6744111180305481,0.6744111180305481,0.6744111180305481
75,8580,8580,8580,0.662055767,0.662055767,0.662055767
80,9152,9152,9152,0.633029556,0.633029556,0.633029556
85,9724,9724,9724,0.6543296813964844,0.6543296813964844,0.6543296813964844
90,10296,10296,10296,0.6635440349578857,0.6635440349578857,0.6635440349578857
95,10868,10868,10868,0.6605753898620605,0.6605753898620605,0.6605753898620605
100,11440,11440,11440,0.6768811702728271,0.6768811702728271,0.6768811702728271
105,12012,12012,12012,0.6675798654556274,0.6675798654556274,0.6675798654556274
110,12584,12584,12584,0.6701169013977051,0.6701169013977051,0.6701169013977051
115,13156,13156,13156,0.6738226294517518,0.6738226294517518,0.6738226294517518
120,13728,13728,13728,0.6663193941116333,0.6663193941116333,0.6663193941116333
125,14300,14300,14300,0.6642898321151733,0.6642898321151733,0.6642898321151733
130,14872,14872,14872,0.6802644014358521,0.6802644014358521,0.6802644014358521
135,15444,15444,15444,0.6695877552032471,0.6695877552032471,0.6695877552032471
140,16016,16016,16016,0.6746389865875244,0.6746389865875244,0.6746389865875244
145,16588,16588,16588,0.6696161389350891,0.6696161389350891,0.6696161389350891
150,17160,17160,17160,0.6846912264823913,0.6846912264823913,0.6846912264823913
155,17732,17732,17732,0.666912293,0.666912293,0.666912293
160,18304,18304,18304,0.6916706323623657,0.6916706323623657,0.6916706323623657
165,18876,18876,18876,0.654246187,0.654246187,0.654246187
170,19448,19448,19448,0.6768629789352417,0.6768629789352417,0.6768629789352417
175,20020,20020,20020,0.6815275549888611,0.6815275549888611,0.6815275549888611
180,20592,20592,20592,0.6696062684059143,0.6696062684059143,0.6696062684059143
185,21164,21164,21164,0.6729675769805908,0.6729675769805908,0.6729675769805908
190,21736,21736,21736,0.6926328778266907,0.6926328778266907,0.6926328778266907
195,22308,22308,22308,0.6761839628219605,0.6761839628219605,0.6761839628219605
200,22880,22880,22880,0.6792565941810608,0.6792565941810608,0.6792565941810608
205,23452,23452,23452,0.6743118166923523,0.6743118166923523,0.6743118166923523
210,24024,24024,24024,0.6825724482536316,0.6825724482536316,0.6825724482536316
215,24596,24596,24596,0.6772753596305847,0.6772753596305847,0.6772753596305847
220,25168,25168,25168,0.6753370285034179,0.6753370285034179,0.6753370285034179
225,25740,25740,25740,0.6758902549743653,0.6758902549743653,0.6758902549743653
230,26312,26312,26312,0.6824536204338074,0.6824536204338074,0.6824536204338074
235,26884,26884,26884,0.6574997663497925,0.6574997663497925,0.6574997663497925
240,27456,27456,27456,0.6785679578781127,0.6785679578781127,0.6785679578781127
245,28028,28028,28028,0.6836480498313904,0.6836480498313904,0.6836480498313904
250,28600,28600,28600,0.6795896053314209,0.6795896053314209,0.6795896053314209
255,29172,29172,29172,0.6721453428268432,0.6721453428268432,0.6721453428268432
260,29744,29744,29744,0.6840574741363525,0.6840574741363525,0.6840574741363525
265,30316,30316,30316,0.6853217244148254,0.6853217244148254,0.6853217244148254
270,30888,30888,30888,0.6891093611717224,0.6891093611717224,0.6891093611717224
275,31460,31460,31460,0.6906051874160767,0.6906051874160767,0.6906051874160767
280,32032,32032,32032,0.6736494660377502,0.6736494660377502,0.6736494660377502
285,32604,32604,32604,0.7084935545921326,0.7084935545921326,0.7084935545921326
290,33176,33176,33176,0.6657712936401368,0.6657712936401368,0.6657712936401368
295,33748,33748,33748,0.6677646398544311,0.6677646398544311,0.6677646398544311
300,34320,34320,34320,0.6838539123535157,0.6838539123535157,0.6838539123535157
