train/global_step,Qwen2.5-3B-INT_PRM_NO_DECAY - _step,Qwen2.5-3B-INT_PRM_NO_DECAY - _step__MIN,Qwen2.5-3B-INT_PRM_NO_DECAY - _step__MAX,mean_length,Qwen2.5-3B-INT_PRM_NO_DECAY - train/completions/mean_length__MIN,Qwen2.5-3B-INT_PRM_NO_DECAY - train/completions/mean_length__MAX
1,114,114,114,610.5532227,610.5532227,610.5532227
5,572,572,572,611.0764007568359,611.0764007568359,611.0764007568359
10,1144,1144,1144,583.8305541992188,583.8305541992188,583.8305541992188
15,1716,1716,1716,617.6948974609375,617.6948974609375,617.6948974609375
20,2288,2288,2288,667.8724487304687,667.8724487304687,667.8724487304687
25,2860,2860,2860,707.9761596679688,707.9761596679688,707.9761596679688
30,3432,3432,3432,726.0949096679688,726.0949096679688,726.0949096679688
35,4004,4004,4004,768.2611083984375,768.2611083984375,768.2611083984375
40,4576,4576,4576,775.7692138671875,775.7692138671875,775.7692138671875
45,5148,5148,5148,789.0990723,789.0990723,789.0990723
50,5720,5720,5720,767.9736206054688,767.9736206054688,767.9736206054688
55,6292,6292,6292,766.3317016601562,766.3317016601562,766.3317016601562
60,6864,6864,6864,730.9356567382813,730.9356567382813,730.9356567382813
65,7436,7436,7436,737.4581176757813,737.4581176757813,737.4581176757813
70,8008,8008,8008,747.0314697265625,747.0314697265625,747.0314697265625
75,8580,8580,8580,752.9671387,752.9671387,752.9671387
80,9152,9152,9152,778.0983887,778.0983887,778.0983887
85,9724,9724,9724,760.3995483398437,760.3995483398437,760.3995483398437
90,10296,10296,10296,738.3675903320312,738.3675903320312,738.3675903320312
95,10868,10868,10868,718.2615723,718.2615723,718.2615723
100,11440,11440,11440,714.7314941,714.7314941,714.7314941
105,12012,12012,12012,692.2787963867188,692.2787963867188,692.2787963867188
110,12584,12584,12584,713.3824096679688,713.3824096679688,713.3824096679688
115,13156,13156,13156,699.1275512695313,699.1275512695313,699.1275512695313
120,13728,13728,13728,709.1571899414063,709.1571899414063,709.1571899414063
125,14300,14300,14300,738.8963012695312,738.8963012695312,738.8963012695312
130,14872,14872,14872,738.0689941,738.0689941,738.0689941
135,15444,15444,15444,715.8835693359375,715.8835693359375,715.8835693359375
140,16016,16016,16016,745.1791625976563,745.1791625976563,745.1791625976563
145,16588,16588,16588,767.3557983398438,767.3557983398438,767.3557983398438
150,17160,17160,17160,762.1402832,762.1402832,762.1402832
155,17732,17732,17732,776.2254760742187,776.2254760742187,776.2254760742187
160,18304,18304,18304,764.3512939453125,764.3512939453125,764.3512939453125
165,18876,18876,18876,742.4365600585937,742.4365600585937,742.4365600585937
170,19448,19448,19448,730.7002319335937,730.7002319335937,730.7002319335937
175,20020,20020,20020,710.5400512695312,710.5400512695312,710.5400512695312
180,20592,20592,20592,706.3856445,706.3856445,706.3856445
185,21164,21164,21164,729.8976806640625,729.8976806640625,729.8976806640625
190,21736,21736,21736,703.8775512695313,703.8775512695313,703.8775512695313
195,22308,22308,22308,724.7391235351563,724.7391235351563,724.7391235351563
200,22880,22880,22880,733.4530029296875,733.4530029296875,733.4530029296875
205,23452,23452,23452,749.0340332,749.0340332,749.0340332
210,24024,24024,24024,755.1374755859375,755.1374755859375,755.1374755859375
215,24596,24596,24596,793.0321899414063,793.0321899414063,793.0321899414063
220,25168,25168,25168,787.9856567382812,787.9856567382812,787.9856567382812
225,25740,25740,25740,770.0257080078125,770.0257080078125,770.0257080078125
230,26312,26312,26312,780.8194458007813,780.8194458007813,780.8194458007813
235,26884,26884,26884,787.0125122070312,787.0125122070312,787.0125122070312
240,27456,27456,27456,767.2523193359375,767.2523193359375,767.2523193359375
245,28028,28028,28028,757.0641235351562,757.0641235351562,757.0641235351562
250,28600,28600,28600,768.8986206054688,768.8986206054688,768.8986206054688
255,29172,29172,29172,750.7004638671875,750.7004638671875,750.7004638671875
260,29744,29744,29744,755.333252,755.333252,755.333252
265,30316,30316,30316,757.5886719,757.5886719,757.5886719
270,30888,30888,30888,756.0696899414063,756.0696899414063,756.0696899414063
275,31460,31460,31460,734.1875122070312,734.1875122070312,734.1875122070312
280,32032,32032,32032,749.8736206054688,749.8736206054688,749.8736206054688
285,32604,32604,32604,770.6541748046875,770.6541748046875,770.6541748046875
290,33176,33176,33176,758.7689819335938,758.7689819335938,758.7689819335938
295,33748,33748,33748,752.5865600585937,752.5865600585937,752.5865600585937
300,34320,34320,34320,759.1377441,759.1377441,759.1377441
