train/global_step,Qwen2.5-3B-INT-300steps - _step,Qwen2.5-3B-INT-300steps - _step__MIN,Qwen2.5-3B-INT-300steps - _step__MAX,mean_rewards,Qwen2.5-3B-INT-300steps - train/rewards/accuracy_reward/mean__MIN,Qwen2.5-3B-INT-300steps - train/rewards/accuracy_reward/mean__MAX
1,117,117,117,0.3848133981227875,0.3848133981227875,0.3848133981227875
5,587,587,587,0.33301158249378204,0.33301158249378204,0.33301158249378204
10,1174,1174,1174,0.343755704,0.343755704,0.343755704
15,1761,1761,1761,0.4471042394638062,0.4471042394638062,0.4471042394638062
20,2348,2348,2348,0.5258687257766723,0.5258687257766723,0.5258687257766723
25,2935,2935,2935,0.6133848071098328,0.6133848071098328,0.6133848071098328
30,3522,3522,3522,0.6221364259719848,0.6221364259719848,0.6221364259719848
35,4109,4109,4109,0.6362934231758117,0.6362934231758117,0.6362934231758117
40,4696,4696,4696,0.6018017888069153,0.6018017888069153,0.6018017888069153
45,5283,5283,5283,0.6332046508789062,0.6332046508789062,0.6332046508789062
50,5870,5870,5870,0.6149292111396789,0.6149292111396789,0.6149292111396789
55,6457,6457,6457,0.6123552083969116,0.6123552083969116,0.6123552083969116
60,7044,7044,7044,0.5909909844398499,0.5909909844398499,0.5909909844398499
65,7631,7631,7631,0.5934713959693909,0.5934713959693909,0.5934713959693909
70,8218,8218,8218,0.5861003875732422,0.5861003875732422,0.5861003875732422
75,8805,8805,8805,0.5734877824783325,0.5734877824783325,0.5734877824783325
80,9392,9392,9392,0.5890043258666993,0.5890043258666993,0.5890043258666993
85,9979,9979,9979,0.5961389899253845,0.5961389899253845,0.5961389899253845
90,10566,10566,10566,0.6025740027427673,0.6025740027427673,0.6025740027427673
95,11153,11153,11153,0.5791505932807922,0.5791505932807922,0.5791505932807922
100,11740,11740,11740,0.5894465804100036,0.5894465804100036,0.5894465804100036
105,12327,12327,12327,0.5639639616012573,0.5639639616012573,0.5639639616012573
110,12914,12914,12914,0.5871299743652344,0.5871299743652344,0.5871299743652344
115,13501,13501,13501,0.596672511,0.596672511,0.596672511
120,14088,14088,14088,0.5750321745872498,0.5750321745872498,0.5750321745872498
125,14675,14675,14675,0.5778635740280151,0.5778635740280151,0.5778635740280151
130,15262,15262,15262,0.5745173692703247,0.5745173692703247,0.5745173692703247
135,15849,15849,15849,0.561904776,0.561904776,0.561904776
140,16436,16436,16436,0.5436293482780457,0.5436293482780457,0.5436293482780457
145,17023,17023,17023,0.5601029634475708,0.5601029634475708,0.5601029634475708
150,17610,17610,17610,0.5838656783103943,0.5838656783103943,0.5838656783103943
155,18197,18197,18197,0.5469755411148072,0.5469755411148072,0.5469755411148072
160,18784,18784,18784,0.5588159561157227,0.5588159561157227,0.5588159561157227
165,19371,19371,19371,0.5361647367477417,0.5361647367477417,0.5361647367477417
170,19958,19958,19958,0.5436293363571167,0.5436293363571167,0.5436293363571167
175,20545,20545,20545,0.5667953610420227,0.5667953610420227,0.5667953610420227
180,21132,21132,21132,0.545945942,0.545945942,0.545945942
185,21719,21719,21719,0.5263835310935974,0.5263835310935974,0.5263835310935974
190,22306,22306,22306,0.5044694006443023,0.5044694006443023,0.5044694006443023
195,22893,22893,22893,0.40823680758476255,0.40823680758476255,0.40823680758476255
200,23480,23480,23480,0.24993565380573274,0.24993565380573274,0.24993565380573274
205,24067,24067,24067,0.10841037482023239,0.10841037482023239,0.10841037482023239
210,24654,24654,24654,0.063835264,0.063835264,0.063835264
215,585,585,585,0.035521235689520834,0.035521235689520834,0.035521235689520834
220,1172,1172,1172,0.027027027,0.027027027,0.027027027
225,1759,1759,1759,0.027799227461218833,0.027799227461218833,0.027799227461218833
230,2346,2346,2346,0.021106821,0.021106821,0.021106821
235,2933,2933,2933,0.025482625514268876,0.025482625514268876,0.025482625514268876
240,3520,3520,3520,0.022393822111189364,0.022393822111189364,0.022393822111189364
245,4107,4107,4107,0.020849421,0.020849421,0.020849421
250,4694,4694,4694,0.022908623,0.022908623,0.022908623
255,5281,5281,5281,0.022136422246694563,0.022136422246694563,0.022136422246694563
260,5868,5868,5868,0.019305019,0.019305019,0.019305019
265,6455,6455,6455,0.017538317106664182,0.017538317106664182,0.017538317106664182
270,7042,7042,7042,0.014157013967633247,0.014157013967633247,0.014157013967633247
275,7629,7629,7629,0.014671814441680909,0.014671814441680909,0.014671814441680909
280,8216,8216,8216,0.018053117766976358,0.018053117766976358,0.018053117766976358
285,8803,8803,8803,0.017503217235207556,0.017503217235207556,0.017503217235207556
290,9390,9390,9390,0.018790218979120255,0.018790218979120255,0.018790218979120255
295,9977,9977,9977,0.015701415576040746,0.015701415576040746,0.015701415576040746
300,10564,10564,10564,0.018018017522990704,0.018018017522990704,0.018018017522990704
