train/global_step,Qwen2.5-3B-INT-300steps - _step,Qwen2.5-3B-INT-300steps - _step__MIN,Qwen2.5-3B-INT-300steps - _step__MAX,mean_advantage,Qwen2.5-3B-INT-300steps - train/sce_advantage__MIN,Qwen2.5-3B-INT-300steps - train/sce_advantage__MAX
1,117,117,117,29.625,29.625,29.625
5,587,587,587,29.5625,29.5625,29.5625
10,1174,1174,1174,29.775,29.775,29.775
15,1761,1761,1761,31.225,31.225,31.225
20,2348,2348,2348,33.85,33.85,33.85
25,2935,2935,2935,37.85,37.85,37.85
30,3522,3522,3522,39.6,39.6,39.6
35,4109,4109,4109,41.65,41.65,41.65
40,4696,4696,4696,42.5,42.5,42.5
45,5283,5283,5283,43.6,43.6,43.6
50,5870,5870,5870,44.1,44.1,44.1
55,6457,6457,6457,44.5,44.5,44.5
60,7044,7044,7044,44.95,44.95,44.95
65,7631,7631,7631,44.8,44.8,44.8
70,8218,8218,8218,44.35,44.35,44.35
75,8805,8805,8805,43.2,43.2,43.2
80,9392,9392,9392,42.55,42.55,42.55
85,9979,9979,9979,42.55,42.55,42.55
90,10566,10566,10566,42.35,42.35,42.35
95,11153,11153,11153,41.8,41.8,41.8
100,11740,11740,11740,41,41,41
105,12327,12327,12327,40.2,40.2,40.2
110,12914,12914,12914,39.55,39.55,39.55
115,13501,13501,13501,39.65,39.65,39.65
120,14088,14088,14088,40.05,40.05,40.05
125,14675,14675,14675,40.05,40.05,40.05
130,15262,15262,15262,39.85,39.85,39.85
135,15849,15849,15849,39.3,39.3,39.3
140,16436,16436,16436,38.95,38.95,38.95
145,17023,17023,17023,39.05,39.05,39.05
150,17610,17610,17610,39.8,39.8,39.8
155,18197,18197,18197,40.1,40.1,40.1
160,18784,18784,18784,39.55,39.55,39.55
165,19371,19371,19371,39.25,39.25,39.25
170,19958,19958,19958,38.7,38.7,38.7
175,20545,20545,20545,38.55,38.55,38.55
180,21132,21132,21132,38.4,38.4,38.4
185,21719,21719,21719,38.5,38.5,38.5
190,22306,22306,22306,38.5,38.5,38.5
195,22893,22893,22893,38.1,38.1,38.1
200,23480,23480,23480,38.35,38.35,38.35
205,24067,24067,24067,38.6,38.6,38.6
210,24654,24654,24654,38.65,38.65,38.65
215,585,585,585,38.75,38.75,38.75
220,1172,1172,1172,38.75,38.75,38.75
225,1759,1759,1759,39.15,39.15,39.15
230,2346,2346,2346,39.65,39.65,39.65
235,2933,2933,2933,39.9,39.9,39.9
240,3520,3520,3520,39.95,39.95,39.95
245,4107,4107,4107,40.15,40.15,40.15
250,4694,4694,4694,40.3,40.3,40.3
255,5281,5281,5281,40.25,40.25,40.25
260,5868,5868,5868,40.25,40.25,40.25
265,6455,6455,6455,40.3,40.3,40.3
270,7042,7042,7042,40.25,40.25,40.25
275,7629,7629,7629,40.3,40.3,40.3
280,8216,8216,8216,40.25,40.25,40.25
285,8803,8803,8803,40.3,40.3,40.3
290,9390,9390,9390,40.35,40.35,40.35
295,9977,9977,9977,40.35,40.35,40.35
300,10564,10564,10564,40.3,40.3,40.3
