train/global_step,Qwen2.5-3B-token-ent - _step,Qwen2.5-3B-token-ent - _step__MIN,Qwen2.5-3B-token-ent - _step__MAX,mean_advantage,Qwen2.5-3B-token-ent - train/sce_advantage__MIN,Qwen2.5-3B-token-ent - train/sce_advantage__MAX
1,102,102,102,-0.3515625,-0.3515625,-0.3515625
5,512,512,512,-0.334960938,-0.334960938,-0.334960938
10,1024,1024,1024,-0.3296875,-0.3296875,-0.3296875
15,1536,1536,1536,-0.268164063,-0.268164063,-0.268164063
20,2048,2048,2048,-0.18359375,-0.18359375,-0.18359375
25,2560,2560,2560,-0.114160156,-0.114160156,-0.114160156
30,3072,3072,3072,-0.088574219,-0.088574219,-0.088574219
35,3584,3584,3584,-0.076953125,-0.076953125,-0.076953125
40,4096,4096,4096,-0.062011719,-0.062011719,-0.062011719
45,4608,4608,4608,-0.057666016,-0.057666016,-0.057666016
50,5120,5120,5120,-0.053759766,-0.053759766,-0.053759766
55,5632,5632,5632,-0.048974609,-0.048974609,-0.048974609
60,6144,6144,6144,-0.045068359,-0.045068359,-0.045068359
65,6656,6656,6656,-0.041210938,-0.041210938,-0.041210938
70,7168,7168,7168,-0.034863281,-0.034863281,-0.034863281
75,7680,7680,7680,-0.02265625,-0.02265625,-0.02265625
80,8192,8192,8192,-0.008953857,-0.008953857,-0.008953857
85,8704,8704,8704,-0.006555176,-0.006555176,-0.006555176
90,9216,9216,9216,-0.004968262,-0.004968262,-0.004968262
95,9728,9728,9728,-0.004943848,-0.004943848,-0.004943848
100,10240,10240,10240,-0.004336548,-0.004336548,-0.004336548
105,10752,10752,10752,-0.004296875,-0.004296875,-0.004296875
110,11264,11264,11264,-0.004425049,-0.004425049,-0.004425049
115,11776,11776,11776,-0.003839111,-0.003839111,-0.003839111
120,12288,12288,12288,-0.003640747,-0.003640747,-0.003640747
125,12800,12800,12800,-0.003256226,-0.003256226,-0.003256226
130,13312,13312,13312,-0.002682495,-0.002682495,-0.002682495
135,13824,13824,13824,-0.002429199,-0.002429199,-0.002429199
140,14336,14336,14336,-0.00227356,-0.00227356,-0.00227356
145,14848,14848,14848,-0.002325439,-0.002325439,-0.002325439
150,15360,15360,15360,-0.002175903,-0.002175903,-0.002175903
155,15872,15872,15872,-0.001914978,-0.001914978,-0.001914978
160,16384,16384,16384,-0.001670837,-0.001670837,-0.001670837
165,16896,16896,16896,-0.001608276,-0.001608276,-0.001608276
170,17408,17408,17408,-0.001654053,-0.001654053,-0.001654053
175,17920,17920,17920,-0.001802063,-0.001802063,-0.001802063
180,18432,18432,18432,-0.001768494,-0.001768494,-0.001768494
185,18944,18944,18944,-0.001843262,-0.001843262,-0.001843262
190,19456,19456,19456,-0.001829529,-0.001829529,-0.001829529
195,19968,19968,19968,-0.001979065,-0.001979065,-0.001979065
200,20480,20480,20480,-0.00184021,-0.00184021,-0.00184021
205,20992,20992,20992,-0.001802063,-0.001802063,-0.001802063
210,21504,21504,21504,-0.001631165,-0.001631165,-0.001631165
215,22016,22016,22016,-0.001646423,-0.001646423,-0.001646423
220,22528,22528,22528,-0.001609802,-0.001609802,-0.001609802
225,23040,23040,23040,-0.001583862,-0.001583862,-0.001583862
230,23552,23552,23552,-0.001530457,-0.001530457,-0.001530457
235,24064,24064,24064,-0.001670837,-0.001670837,-0.001670837
240,24576,24576,24576,-0.00146637,-0.00146637,-0.00146637
245,25088,25088,25088,-0.001275635,-0.001275635,-0.001275635
250,25600,25600,25600,-0.001358032,-0.001358032,-0.001358032
255,26112,26112,26112,-0.001239014,-0.001239014,-0.001239014
260,26624,26624,26624,-0.001179504,-0.001179504,-0.001179504
265,27136,27136,27136,-0.001194763,-0.001194763,-0.001194763
270,27648,27648,27648,-0.001315308,-0.001315308,-0.001315308
275,28160,28160,28160,-0.001325989,-0.001325989,-0.001325989
280,28672,28672,28672,-0.001370239,-0.001370239,-0.001370239
285,29184,29184,29184,-0.001345825,-0.001345825,-0.001345825
290,29696,29696,29696,-0.001457214,-0.001457214,-0.001457214
295,30208,30208,30208,-0.001425171,-0.001425171,-0.001425171
300,30720,30720,30720,-0.001298523,-0.001298523,-0.001298523
