train/global_step,Qwen2.5-3B-token-ent - _step,Qwen2.5-3B-token-ent - _step__MIN,Qwen2.5-3B-token-ent - _step__MAX,mean_length,Qwen2.5-3B-token-ent - train/completions/mean_length__MIN,Qwen2.5-3B-token-ent - train/completions/mean_length__MAX
1,102,102,102,570.1183471679688,570.1183471679688,570.1183471679688
5,512,512,512,625.8217468261719,625.8217468261719,625.8217468261719
10,1024,1024,1024,593.5361938476562,593.5361938476562,593.5361938476562
15,1536,1536,1536,623.5011596679688,623.5011596679688,623.5011596679688
20,2048,2048,2048,678.4875244140625,678.4875244140625,678.4875244140625
25,2560,2560,2560,711.0433349609375,711.0433349609375,711.0433349609375
30,3072,3072,3072,748.4006958007812,748.4006958007812,748.4006958007812
35,3584,3584,3584,842.2406738,842.2406738,842.2406738
40,4096,4096,4096,920.3504883,920.3504883,920.3504883
45,4608,4608,4608,933.1377563476562,933.1377563476562,933.1377563476562
50,5120,5120,5120,1044.1136596679687,1044.1136596679687,1044.1136596679687
55,5632,5632,5632,1146.81123,1146.81123,1146.81123
60,6144,6144,6144,1244.856201171875,1244.856201171875,1244.856201171875
65,6656,6656,6656,1413.2141357421874,1413.2141357421874,1413.2141357421874
70,7168,7168,7168,1703.8413818359375,1703.8413818359375,1703.8413818359375
75,7680,7680,7680,2509.323974609375,2509.323974609375,2509.323974609375
80,8192,8192,8192,3004.782958984375,3004.782958984375,3004.782958984375
85,8704,8704,8704,3048.768945,3048.768945,3048.768945
90,9216,9216,9216,3056.518896484375,3056.518896484375,3056.518896484375
95,9728,9728,9728,3051.177392578125,3051.177392578125,3051.177392578125
100,10240,10240,10240,3055.622461,3055.622461,3055.622461
105,10752,10752,10752,3064.749512,3064.749512,3064.749512
110,11264,11264,11264,3065.728516,3065.728516,3065.728516
115,11776,11776,11776,3066.917285,3066.917285,3066.917285
120,12288,12288,12288,3068.96123,3068.96123,3068.96123
125,12800,12800,12800,3068.502783203125,3068.502783203125,3068.502783203125
130,13312,13312,13312,3068.540771484375,3068.540771484375,3068.540771484375
135,13824,13824,13824,3069.093262,3069.093262,3069.093262
140,14336,14336,14336,3068.310352,3068.310352,3068.310352
145,14848,14848,14848,3068.189258,3068.189258,3068.189258
150,15360,15360,15360,3063.765087890625,3063.765087890625,3063.765087890625
155,15872,15872,15872,3063.891895,3063.891895,3063.891895
160,16384,16384,16384,3063.707031,3063.707031,3063.707031
165,16896,16896,16896,3066.658594,3066.658594,3066.658594
170,17408,17408,17408,3065.719336,3065.719336,3065.719336
175,17920,17920,17920,3063.598535,3063.598535,3063.598535
180,18432,18432,18432,3065.763281,3065.763281,3065.763281
185,18944,18944,18944,3067.142041015625,3067.142041015625,3067.142041015625
190,19456,19456,19456,3065.089648,3065.089648,3065.089648
195,19968,19968,19968,3064.683203,3064.683203,3064.683203
200,20480,20480,20480,3067.103711,3067.103711,3067.103711
205,20992,20992,20992,3064.691211,3064.691211,3064.691211
210,21504,21504,21504,3067.180957,3067.180957,3067.180957
215,22016,22016,22016,3068.791259765625,3068.791259765625,3068.791259765625
220,22528,22528,22528,3065.018457,3065.018457,3065.018457
225,23040,23040,23040,3066.546191,3066.546191,3066.546191
230,23552,23552,23552,3064.282275390625,3064.282275390625,3064.282275390625
235,24064,24064,24064,3065.304736328125,3065.304736328125,3065.304736328125
240,24576,24576,24576,3068.720654296875,3068.720654296875,3068.720654296875
245,25088,25088,25088,3065.727783203125,3065.727783203125,3065.727783203125
250,25600,25600,25600,3063.257763671875,3063.257763671875,3063.257763671875
255,26112,26112,26112,3061.912207,3061.912207,3061.912207
260,26624,26624,26624,3064.235645,3064.235645,3064.235645
265,27136,27136,27136,3063.571191,3063.571191,3063.571191
270,27648,27648,27648,3061.542822265625,3061.542822265625,3061.542822265625
275,28160,28160,28160,3061.854150390625,3061.854150390625,3061.854150390625
280,28672,28672,28672,3060.887158203125,3060.887158203125,3060.887158203125
285,29184,29184,29184,3061.638281,3061.638281,3061.638281
290,29696,29696,29696,3058.922656,3058.922656,3058.922656
295,30208,30208,30208,3062.892969,3062.892969,3062.892969
300,30720,30720,30720,3064.192822265625,3064.192822265625,3064.192822265625
