train/global_step,Qwen2.5-3B-token-ent - _step,Qwen2.5-3B-token-ent - _step__MIN,Qwen2.5-3B-token-ent - _step__MAX,mean_ac_reward,Qwen2.5-3B-token-ent - train/rewards/accuracy_reward/mean__MIN,Qwen2.5-3B-token-ent - train/rewards/accuracy_reward/mean__MAX
1,102,102,102,0.3370535671710968,0.3370535671710968,0.3370535671710968
5,512,512,512,0.3490513488650322,0.3490513488650322,0.3490513488650322
10,1024,1024,1024,0.34515430927276614,0.34515430927276614,0.34515430927276614
15,1536,1536,1536,0.4078125,0.4078125,0.4078125
20,2048,2048,2048,0.553125,0.553125,0.553125
25,2560,2560,2560,0.6107142925262451,0.6107142925262451,0.6107142925262451
30,3072,3072,3072,0.6457589268684387,0.6457589268684387,0.6457589268684387
35,3584,3584,3584,0.5930803418159485,0.5930803418159485,0.5930803418159485
40,4096,4096,4096,0.6220982193946838,0.6220982193946838,0.6220982193946838
45,4608,4608,4608,0.5982142806053161,0.5982142806053161,0.5982142806053161
50,5120,5120,5120,0.5854910731315612,0.5854910731315612,0.5854910731315612
55,5632,5632,5632,0.5291777968406677,0.5291777968406677,0.5291777968406677
60,6144,6144,6144,0.5082589387893677,0.5082589387893677,0.5082589387893677
65,6656,6656,6656,0.459375,0.459375,0.459375
70,7168,7168,7168,0.38372995853424074,0.38372995853424074,0.38372995853424074
75,7680,7680,7680,0.14464285746216773,0.14464285746216773,0.14464285746216773
80,8192,8192,8192,0.010714285937137902,0.010714285937137902,0.010714285937137902
85,8704,8704,8704,0.002455357,0.002455357,0.002455357
90,9216,9216,9216,0.002455357,0.002455357,0.002455357
95,9728,9728,9728,0.003571429,0.003571429,0.003571429
100,10240,10240,10240,0.002917604,0.002917604,0.002917604
105,10752,10752,10752,0.001116071,0.001116071,0.001116071
110,11264,11264,11264,0.000223214,0.000223214,0.000223214
115,11776,11776,11776,0.000669643,0.000669643,0.000669643
120,12288,12288,12288,0.000223214,0.000223214,0.000223214
125,12800,12800,12800,0.000446429,0.000446429,0.000446429
130,13312,13312,13312,0,0,0
135,13824,13824,13824,0.000223214,0.000223214,0.000223214
140,14336,14336,14336,0.000446429,0.000446429,0.000446429
145,14848,14848,14848,0,0,0
150,15360,15360,15360,0,0,0
155,15872,15872,15872,0.000446429,0.000446429,0.000446429
160,16384,16384,16384,0,0,0
165,16896,16896,16896,0.000223214,0.000223214,0.000223214
170,17408,17408,17408,0,0,0
175,17920,17920,17920,0,0,0
180,18432,18432,18432,0.000226757,0.000226757,0.000226757
185,18944,18944,18944,0,0,0
190,19456,19456,19456,0,0,0
195,19968,19968,19968,0.000446429,0.000446429,0.000446429
200,20480,20480,20480,0.000223214,0.000223214,0.000223214
205,20992,20992,20992,0,0,0
210,21504,21504,21504,0,0,0
215,22016,22016,22016,0,0,0
220,22528,22528,22528,0,0,0
225,23040,23040,23040,0,0,0
230,23552,23552,23552,0,0,0
235,24064,24064,24064,0.000223214,0.000223214,0.000223214
240,24576,24576,24576,0,0,0
245,25088,25088,25088,0,0,0
250,25600,25600,25600,0,0,0
255,26112,26112,26112,0.000446429,0.000446429,0.000446429
260,26624,26624,26624,0,0,0
265,27136,27136,27136,0,0,0
270,27648,27648,27648,0.000223214,0.000223214,0.000223214
275,28160,28160,28160,0.000223214,0.000223214,0.000223214
280,28672,28672,28672,0.000223214,0.000223214,0.000223214
285,29184,29184,29184,0.000446429,0.000446429,0.000446429
290,29696,29696,29696,0.000223214,0.000223214,0.000223214
295,30208,30208,30208,0,0,0
300,30720,30720,30720,0,0,0
