train/global_step,Qwen2.5-3B-traj-ent - _step,Qwen2.5-3B-traj-ent - _step__MIN,Qwen2.5-3B-traj-ent - _step__MAX,mean_advantage,Qwen2.5-3B-traj-ent - train/sce_advantage__MIN,Qwen2.5-3B-traj-ent - train/sce_advantage__MAX
1,102,102,102,-0.326171875,-0.326171875,-0.326171875
5,512,512,512,-0.333984375,-0.333984375,-0.333984375
10,1024,1024,1024,-0.326953125,-0.326953125,-0.326953125
15,1536,1536,1536,-0.263476563,-0.263476563,-0.263476563
20,2048,2048,2048,-0.162792969,-0.162792969,-0.162792969
25,2560,2560,2560,-0.0953125,-0.0953125,-0.0953125
30,3072,3072,3072,-0.071191406,-0.071191406,-0.071191406
35,3584,3584,3584,-0.053222656,-0.053222656,-0.053222656
40,4096,4096,4096,-0.037744141,-0.037744141,-0.037744141
45,4608,4608,4608,-0.031005859,-0.031005859,-0.031005859
50,5120,5120,5120,-0.02565918,-0.02565918,-0.02565918
55,5632,5632,5632,-0.023999023,-0.023999023,-0.023999023
60,6144,6144,6144,-0.019042969,-0.019042969,-0.019042969
65,6656,6656,6656,-0.018481445,-0.018481445,-0.018481445
70,7168,7168,7168,-0.015478516,-0.015478516,-0.015478516
75,7680,7680,7680,-0.015222168,-0.015222168,-0.015222168
80,8192,8192,8192,-0.013500977,-0.013500977,-0.013500977
85,8704,8704,8704,-0.012976074,-0.012976074,-0.012976074
90,9216,9216,9216,-0.011804199,-0.011804199,-0.011804199
95,9728,9728,9728,-0.011083984,-0.011083984,-0.011083984
100,10240,10240,10240,-0.00982666,-0.00982666,-0.00982666
105,10752,10752,10752,-0.009716797,-0.009716797,-0.009716797
110,11264,11264,11264,-0.009570313,-0.009570313,-0.009570313
115,11776,11776,11776,-0.009979248,-0.009979248,-0.009979248
120,12288,12288,12288,-0.008251953,-0.008251953,-0.008251953
125,12800,12800,12800,-0.0078125,-0.0078125,-0.0078125
130,13312,13312,13312,-0.006768799,-0.006768799,-0.006768799
135,13824,13824,13824,-0.005511475,-0.005511475,-0.005511475
140,14336,14336,14336,-0.005273438,-0.005273438,-0.005273438
145,14848,14848,14848,-0.005221558,-0.005221558,-0.005221558
150,15360,15360,15360,-0.005157471,-0.005157471,-0.005157471
155,15872,15872,15872,-0.004141235,-0.004141235,-0.004141235
160,16384,16384,16384,-0.003613281,-0.003613281,-0.003613281
165,16896,16896,16896,-0.004373169,-0.004373169,-0.004373169
170,17408,17408,17408,-0.003988647,-0.003988647,-0.003988647
175,17920,17920,17920,-0.00390625,-0.00390625,-0.00390625
180,18432,18432,18432,-0.002287292,-0.002287292,-0.002287292
185,18944,18944,18944,-0.003746033,-0.003746033,-0.003746033
190,19456,19456,19456,-0.00249939,-0.00249939,-0.00249939
195,19968,19968,19968,-0.002937317,-0.002937317,-0.002937317
200,20480,20480,20480,-0.00224762,-0.00224762,-0.00224762
205,20992,20992,20992,-0.002182007,-0.002182007,-0.002182007
210,21504,21504,21504,-0.002243042,-0.002243042,-0.002243042
215,22016,22016,22016,-0.00239563,-0.00239563,-0.00239563
220,22528,22528,22528,-0.00193634,-0.00193634,-0.00193634
225,23040,23040,23040,-0.00223999,-0.00223999,-0.00223999
230,23552,23552,23552,-0.002580261,-0.002580261,-0.002580261
235,24064,24064,24064,-0.001948547,-0.001948547,-0.001948547
240,24576,24576,24576,-0.002087402,-0.002087402,-0.002087402
245,25088,25088,25088,-0.002088928,-0.002088928,-0.002088928
250,25600,25600,25600,-0.002523804,-0.002523804,-0.002523804
255,26112,26112,26112,-0.001739502,-0.001739502,-0.001739502
260,26624,26624,26624,-0.001559448,-0.001559448,-0.001559448
265,27136,27136,27136,-0.001463318,-0.001463318,-0.001463318
270,27648,27648,27648,-0.001774597,-0.001774597,-0.001774597
275,28160,28160,28160,-0.001678467,-0.001678467,-0.001678467
280,28672,28672,28672,-0.002352905,-0.002352905,-0.002352905
285,29184,29184,29184,-0.001623535,-0.001623535,-0.001623535
290,29696,29696,29696,-0.001945496,-0.001945496,-0.001945496
295,30208,30208,30208,-0.001618958,-0.001618958,-0.001618958
300,30720,30720,30720,-0.001449585,-0.001449585,-0.001449585
