train/global_step,Qwen2.5-3B-traj-ent - _step,Qwen2.5-3B-traj-ent - _step__MIN,Qwen2.5-3B-traj-ent - _step__MAX,mean_length,Qwen2.5-3B-traj-ent - train/completions/mean_length__MIN,Qwen2.5-3B-traj-ent - train/completions/mean_length__MAX
1,102,102,102,592.6395263671875,592.6395263671875,592.6395263671875
5,512,512,512,604.4009857177734,604.4009857177734,604.4009857177734
10,1024,1024,1024,605.6482299804687,605.6482299804687,605.6482299804687
15,1536,1536,1536,625.7721191,625.7721191,625.7721191
20,2048,2048,2048,684.8687866210937,684.8687866210937,684.8687866210937
25,2560,2560,2560,702.6743652,702.6743652,702.6743652
30,3072,3072,3072,711.2355224609375,711.2355224609375,711.2355224609375
35,3584,3584,3584,772.8183471679688,772.8183471679688,772.8183471679688
40,4096,4096,4096,827.0640991210937,827.0640991210937,827.0640991210937
45,4608,4608,4608,819.1009155273438,819.1009155273438,819.1009155273438
50,5120,5120,5120,865.4839599609375,865.4839599609375,865.4839599609375
55,5632,5632,5632,841.9049438476562,841.9049438476562,841.9049438476562
60,6144,6144,6144,889.5262573242187,889.5262573242187,889.5262573242187
65,6656,6656,6656,935.1948974609375,935.1948974609375,935.1948974609375
70,7168,7168,7168,936.9420043945313,936.9420043945313,936.9420043945313
75,7680,7680,7680,940.3984741210937,940.3984741210937,940.3984741210937
80,8192,8192,8192,976.0917969,976.0917969,976.0917969
85,8704,8704,8704,981.6042969,981.6042969,981.6042969
90,9216,9216,9216,1179.1866455078125,1179.1866455078125,1179.1866455078125
95,9728,9728,9728,1163.992919921875,1163.992919921875,1163.992919921875
100,10240,10240,10240,1268.3955810546875,1268.3955810546875,1268.3955810546875
105,10752,10752,10752,1317.6866455078125,1317.6866455078125,1317.6866455078125
110,11264,11264,11264,1397.85498,1397.85498,1397.85498
115,11776,11776,11776,1453.1735107421875,1453.1735107421875,1453.1735107421875
120,12288,12288,12288,1603.131494140625,1603.131494140625,1603.131494140625
125,12800,12800,12800,1635.861669921875,1635.861669921875,1635.861669921875
130,13312,13312,13312,1709.044727,1709.044727,1709.044727
135,13824,13824,13824,2004.43916,2004.43916,2004.43916
140,14336,14336,14336,2067.936035,2067.936035,2067.936035
145,14848,14848,14848,2152.519091796875,2152.519091796875,2152.519091796875
150,15360,15360,15360,2286.067919921875,2286.067919921875,2286.067919921875
155,15872,15872,15872,2359.606836,2359.606836,2359.606836
160,16384,16384,16384,2452.592969,2452.592969,2452.592969
165,16896,16896,16896,2532.376904296875,2532.376904296875,2532.376904296875
170,17408,17408,17408,2576.111279296875,2576.111279296875,2576.111279296875
175,17920,17920,17920,2629.319824,2629.319824,2629.319824
180,18432,18432,18432,2679.198095703125,2679.198095703125,2679.198095703125
185,18944,18944,18944,2735.451708984375,2735.451708984375,2735.451708984375
190,19456,19456,19456,2738.121973,2738.121973,2738.121973
195,19968,19968,19968,2794.41709,2794.41709,2794.41709
200,20480,20480,20480,2777.647266,2777.647266,2777.647266
205,20992,20992,20992,2883.766895,2883.766895,2883.766895
210,21504,21504,21504,2785.530908203125,2785.530908203125,2785.530908203125
215,22016,22016,22016,2840.447705078125,2840.447705078125,2840.447705078125
220,22528,22528,22528,2866.364892578125,2866.364892578125,2866.364892578125
225,23040,23040,23040,2825.315283203125,2825.315283203125,2825.315283203125
230,23552,23552,23552,2854.510156,2854.510156,2854.510156
235,24064,24064,24064,2907.204395,2907.204395,2907.204395
240,24576,24576,24576,2913.961523,2913.961523,2913.961523
245,25088,25088,25088,2895.65752,2895.65752,2895.65752
250,25600,25600,25600,2898.425586,2898.425586,2898.425586
255,26112,26112,26112,2867.444384765625,2867.444384765625,2867.444384765625
260,26624,26624,26624,2902.011523,2902.011523,2902.011523
265,27136,27136,27136,2876.975146484375,2876.975146484375,2876.975146484375
270,27648,27648,27648,2898.268212890625,2898.268212890625,2898.268212890625
275,28160,28160,28160,2903.84834,2903.84834,2903.84834
280,28672,28672,28672,2886.360888671875,2886.360888671875,2886.360888671875
285,29184,29184,29184,2885.951025390625,2885.951025390625,2885.951025390625
290,29696,29696,29696,2887.726074,2887.726074,2887.726074
295,30208,30208,30208,2884.865771484375,2884.865771484375,2884.865771484375
300,30720,30720,30720,2884.125537109375,2884.125537109375,2884.125537109375
