train/global_step,Qwen2.5-3B-traj-ent - _step,Qwen2.5-3B-traj-ent - _step__MIN,Qwen2.5-3B-traj-ent - _step__MAX,mean_ac_reward,Qwen2.5-3B-traj-ent - train/rewards/accuracy_reward/mean__MIN,Qwen2.5-3B-traj-ent - train/rewards/accuracy_reward/mean__MAX
1,102,102,102,0.3392857015132904,0.3392857015132904,0.3392857015132904
5,512,512,512,0.3309151753783226,0.3309151753783226,0.3309151753783226
10,1024,1024,1024,0.3458503305912018,0.3458503305912018,0.3458503305912018
15,1536,1536,1536,0.41406250596046446,0.41406250596046446,0.41406250596046446
20,2048,2048,2048,0.5633928537368774,0.5633928537368774,0.5633928537368774
25,2560,2560,2560,0.6310267806053161,0.6310267806053161,0.6310267806053161
30,3072,3072,3072,0.6549107074737549,0.6549107074737549,0.6549107074737549
35,3584,3584,3584,0.6127232193946839,0.6127232193946839,0.6127232193946839
40,4096,4096,4096,0.6379464268684387,0.6379464268684387,0.6379464268684387
45,4608,4608,4608,0.65,0.65,0.65
50,5120,5120,5120,0.6287946462631225,0.6287946462631225,0.6287946462631225
55,5632,5632,5632,0.5971931219100952,0.5971931219100952,0.5971931219100952
60,6144,6144,6144,0.6017857193946838,0.6017857193946838,0.6017857193946838
65,6656,6656,6656,0.5850446462631226,0.5850446462631226,0.5850446462631226
70,7168,7168,7168,0.608759856,0.608759856,0.608759856
75,7680,7680,7680,0.596875,0.596875,0.596875
80,8192,8192,8192,0.603125,0.603125,0.603125
85,8704,8704,8704,0.592187512,0.592187512,0.592187512
90,9216,9216,9216,0.5160714328289032,0.5160714328289032,0.5160714328289032
95,9728,9728,9728,0.5276785790920258,0.5276785790920258,0.5276785790920258
100,10240,10240,10240,0.5112679362297058,0.5112679362297058,0.5112679362297058
105,10752,10752,10752,0.4917410612106323,0.4917410612106323,0.4917410612106323
110,11264,11264,11264,0.4495535731315613,0.4495535731315613,0.4495535731315613
115,11776,11776,11776,0.4308035671710968,0.4308035671710968,0.4308035671710968
120,12288,12288,12288,0.3787946403026581,0.3787946403026581,0.3787946403026581
125,12800,12800,12800,0.3645089268684387,0.3645089268684387,0.3645089268684387
130,13312,13312,13312,0.3617424786090851,0.3617424786090851,0.3617424786090851
135,13824,13824,13824,0.2665178507566452,0.2665178507566452,0.2665178507566452
140,14336,14336,14336,0.25669642984867097,0.25669642984867097,0.25669642984867097
145,14848,14848,14848,0.22388392984867095,0.22388392984867095,0.22388392984867095
150,15360,15360,15360,0.2069196432828903,0.2069196432828903,0.2069196432828903
155,15872,15872,15872,0.17879464328289033,0.17879464328289033,0.17879464328289033
160,16384,16384,16384,0.16205357015132904,0.16205357015132904,0.16205357015132904
165,16896,16896,16896,0.13537331521511078,0.13537331521511078,0.13537331521511078
170,17408,17408,17408,0.12879464477300645,0.12879464477300645,0.12879464477300645
175,17920,17920,17920,0.11540178656578064,0.11540178656578064,0.11540178656578064
180,18432,18432,18432,0.10610119104385377,0.10610119104385377,0.10610119104385377
185,18944,18944,18944,0.08169643,0.08169643,0.08169643
190,19456,19456,19456,0.084821429,0.084821429,0.084821429
195,19968,19968,19968,0.068750001,0.068750001,0.068750001
200,20480,20480,20480,0.069866072,0.069866072,0.069866072
205,20992,20992,20992,0.042633928,0.042633928,0.042633928
210,21504,21504,21504,0.0734375,0.0734375,0.0734375
215,22016,22016,22016,0.054910715,0.054910715,0.054910715
220,22528,22528,22528,0.042187499,0.042187499,0.042187499
225,23040,23040,23040,0.062723216,0.062723216,0.062723216
230,23552,23552,23552,0.05625,0.05625,0.05625
235,24064,24064,24064,0.0421875,0.0421875,0.0421875
240,24576,24576,24576,0.036830357,0.036830357,0.036830357
245,25088,25088,25088,0.044642858,0.044642858,0.044642858
250,25600,25600,25600,0.041371977,0.041371977,0.041371977
255,26112,26112,26112,0.0421875,0.0421875,0.0421875
260,26624,26624,26624,0.037276785,0.037276785,0.037276785
265,27136,27136,27136,0.056696429,0.056696429,0.056696429
270,27648,27648,27648,0.045586685091257094,0.045586685091257094,0.045586685091257094
275,28160,28160,28160,0.043303572,0.043303572,0.043303572
280,28672,28672,28672,0.049776786,0.049776786,0.049776786
285,29184,29184,29184,0.049330357,0.049330357,0.049330357
290,29696,29696,29696,0.043303572,0.043303572,0.043303572
295,30208,30208,30208,0.040848215,0.040848215,0.040848215
300,30720,30720,30720,0.051339286,0.051339286,0.051339286
