,train/global_step,rolling_corr_prm,rolling_corr_int,rolling_corr_comb
0,1,,,
1,5,,,
2,10,,,
3,15,,,
4,20,,,
5,25,,,
6,30,,,
7,35,,,
8,40,,,
9,45,,,
10,50,,,
11,55,,,
12,60,,,
13,65,,,
14,70,0.7217205822418099,0.8955781101384679,0.993130419755836
15,75,0.4700001477989639,0.8702906906665427,0.9896978817154202
16,80,0.291290059064859,0.8293490427317064,0.9833313337899166
17,85,0.05368283337875964,0.7401195576911069,0.9609039878067577
18,90,-0.18083249768377124,0.42696835747556156,0.8942275570477805
19,95,-0.37461414229736106,-0.2888260804509915,0.8791412334832113
20,100,-0.4396274348064445,-0.1753367899720026,0.8687383477302629
21,105,-0.48021409935815207,0.24976532346101912,0.882841137237816
22,110,-0.4423077103759389,0.4500099232055917,0.890864071110384
23,115,-0.465716519479983,0.3920507155466673,0.883647559326732
24,120,-0.3468140816780786,0.4502132613206402,0.8730457996893304
25,125,-0.27122674178760947,0.4269108468464595,0.8462627316037976
26,130,-0.27707143990806704,0.35831785936037375,0.8107185153124025
27,135,-0.1567279793790069,0.4281515100863049,0.7919339967516346
28,140,0.0695171009392779,0.48764301043398484,0.7648647478205075
29,145,0.388325034640644,0.5610111545754815,0.7824630212157205
30,150,0.5193550709312583,0.6651513240844079,0.8223653050885231
31,155,0.5594899830369485,0.6152601726139206,0.5404665889505643
32,160,0.3679609220601882,0.5718785254371382,0.6805574765888377
33,165,0.4015617205610459,0.4529835925602832,0.798929771870678
34,170,0.3138689522481465,0.5690498038715898,0.8133303913439922
35,175,-0.3546079777698261,0.4078955536430425,0.8236073352955505
36,180,-0.32510829915172473,0.5069498879865905,0.8329869521966873
37,185,-0.3022744998164146,0.5966495657904354,0.8645830899967556
38,190,-0.34771993140755675,0.654686838271054,0.9036856841144326
39,195,-0.35212963287199117,0.6477190041798506,0.9089345710012865
40,200,-0.33818509304421174,0.5404683897717792,0.8734403755783962
41,205,-0.3704794356774864,0.43788341569507405,0.8748341338911851
42,210,-0.3733851078281028,0.3926419903439628,0.8731335754020532
43,215,-0.3827334359650174,0.3582515384035137,0.8749649508267856
44,220,-0.3712603330098059,0.3297134764097255,0.876351543601926
45,225,-0.331110965710921,0.15439241239501283,0.8618966778459238
46,230,-0.292646168395304,-0.19766907260538494,0.860603627277208
47,235,-0.04739701928345186,-0.48166307113788664,0.8907376038739324
48,240,-0.04543712175464612,-0.6309930097910905,0.89197439849119
49,245,-0.026955407461657775,-0.6607599975673839,0.8534056562229727
50,250,0.40860963087126706,-0.6679821857954462,0.8469157852871689
51,255,0.5378981902711026,-0.656484620217333,0.8325695873711372
52,260,0.585654032428235,-0.6589903519032821,0.8407691952880348
53,265,0.5035780591115189,-0.690002623407757,0.7945869348512563
54,270,0.37311846104125823,-0.65449106498934,0.8258248611652715
55,275,0.22117402897094646,-0.7106671364544861,0.8545161648567186
56,280,0.22624658463588507,-0.7671650957086493,0.8575558854723483
57,285,0.1956472311598247,-0.8378842531976615,0.8734901395068456
58,290,0.28312364916210386,-0.7549637036448605,0.8880852644384143
59,295,0.22390175885008556,-0.7273376126081111,0.8738540670296356
60,300,0.2307519585984936,-0.5639613043254083,0.8810205369244918
