,process_reward
0,0.9706877722
1,9.610240000000001e-05
3,9.610240000000001e-05
6,1.67014e-05
7,0.0001584362
10,0.0179862098
11,0.9626731143
18,2.75357e-05
19,0.8519528001000001
24,0.0052201258
25,0.006692851200000001
26,0.9796676469000001
27,0.009708477200000001
28,1.67014e-05
32,0.0035936031
33,0.0005527787
35,6.9623e-06
37,0.2018132295
39,0.8670357684000001
40,0.0013250225
41,0.9924227602000001
42,9.61025e-05
45,0.0534033255
47,1.4739e-05
49,0.0002611903
50,0.0001795279
51,0.0159063948
53,0.9890130558
54,0.0021827166
56,0.8354835371
60,0.0031726834
61,0.9046505370000001
64,0.9875683481
67,0.9770226321000001
70,0.09534947
71,0.9740426428000001
72,0.9928785710000001
73,5.14422e-05
75,0.0001233945
78,6.1442e-06
80,6.60522e-05
83,0.00043055700000000003
84,0.0002611904
85,0.060086655200000005
87,0.0191240352
89,0.0109869404
91,0.007577239800000001
96,4.53979e-05
97,0.9859363721000001
100,4.53979e-05
105,5.82913e-05
111,7.48463e-05
121,0.0004305571
122,0.0046095726
125,7.484620000000001e-05
126,0.0046095722
132,1.2099e-06
137,0.0002034269
138,1.2099e-06
140,0.0006263342
148,0.0004305571
149,0.0017007227
151,0.00033535
152,0.0001233945
154,0.0007096703
156,0.7549149924
157,0.0009110510000000001
160,0.0028009265
161,0.9324533084000001
162,0.0004878571
163,0.5926665999999999
169,0.8807970889000001
170,0.9959298620000001
171,0.0066928498
173,0.0001233946
177,0.9525741216
178,0.0002305067
183,0.994779874
186,0.0002611904
188,0.9241418184
190,0.9875683507
191,0.0017007221
195,5.82913e-05
197,0.92414182
199,0.0002305068
201,0.0011695100000000001
203,3.1201900000000004e-05
204,4.00637e-05
208,0.9770226307000001
209,0.9998088956000001
211,0.9902915228
216,0.0179862133
217,0.0059110686
220,0.0001088969
224,0.0009110511
225,6.5404e-06
226,0.9940889319
229,8.9397e-06
230,2.75357e-05
231,5.82913e-05
234,0.0019267343000000001
235,0.0001795281
238,6.60522e-05
239,2.5613e-06
240,0.0013250222
242,0.0003799845
245,0.0046095716
246,4.00637e-05
247,0.9953904280000001
248,8.481100000000001e-05
251,1.1478800000000001e-05
252,0.9953904273
255,4.00637e-05
256,0.7310585786
261,7.48463e-05
265,0.010986941600000001
276,0.0003353502
277,0.7772998560000001
283,0.0006263340000000001
286,0.0015011821
288,0.0003799844
291,5.14422e-05
292,0.9324533159
293,2.75357e-05
294,0.0002034269
295,0.2018132295
297,5.82913e-05
298,0.0005527785
300,0.970687771
302,6.1442e-06
304,0.0085774871
307,0.006692849900000001
311,4.00637e-05
314,0.029312231600000002
317,0.0002034271
323,0.0003353502
324,5.715000000000001e-07
325,0.0005527786000000001
328,0.9875683486000001
330,0.0001233945
332,0.000139822
333,0.1824255283
337,0.9149009591
338,2.75357e-05
341,0.0001584363
346,0.0031726836
347,0.0021827165
350,0.0013250227
356,3.53562e-05
358,8.481100000000001e-05
359,0.0019267351
360,0.0017007226
363,1.7603000000000001e-06
373,0.0006263342
375,0.0097084751
377,0.9902915217
381,0.9978172834000001
387,0.0007096703
388,0.9978172839
390,0.9902915231
392,3.7266e-06
393,0.0085774834
394,0.0001398221
398,0.8175744717000001
399,0.0006263343
400,3.53563e-05
401,0.9399133542
402,0.9706877703000001
403,3.7266e-06
404,4.00637e-05
408,2.1444900000000002e-05
411,0.9959298628000001
412,2.75357e-05
413,0.9840936100000001
414,0.000139822
416,0.0001398221
417,0.010986944700000001
423,0.06754669070000001
426,1.7603000000000001e-06
428,0.9859363724
431,0.0002611904
435,0.0031726824
436,0.0003353502
438,0.0035936019
439,0.0008040859
440,0.0179862113
442,0.0011695104
447,0.0001088969
449,0.0002034269
451,0.9820137921000001
452,0.037326888
456,0.9840936065
457,0.9770226275
459,4.53979e-05
460,0.9914225150000001
462,0.0066928510000000005
465,0.0002305068
468,0.7772998612
469,0.0017007224000000001
470,0.0259573596
471,6.476000000000001e-07
472,0.017986206600000002
473,0.00048785720000000003
474,0.9975273763
476,0.0013250225
478,0.8807970905
481,7.484620000000001e-05
484,0.9947798750000001
492,0.0179862121
499,0.9241418132
